"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%"
"166","T.B",81,"20092010",134,158,-24,47.7,104.4,72.8,7.9,91.4,53.2,99.3,46.9
"167","NYR",82,"20112012",149,129,20,47.8,104.3,73.2,8.4,92.7,50.1,101.1,47.8
"168","CBJ",82,"20112012",129,162,-33,47.6,103.2,74.5,7.3,91.8,51.4,99.1,45.6
"169","PHI",82,"20082009",151,152,-1,47.7,111.9,73.5,8.4,92,48.2,100.4,46.4
"170","EDM",82,"20082009",150,145,5,47.6,108.5,71.6,8.9,92.5,48,101.3,49.1
"171","WSH",82,"20132014",135,153,-18,47.7,108.9,71.3,7.7,92.5,48,100.2,50.8
"172","TOR",82,"20102011",149,156,-7,47.8,116.9,70.4,8.4,92.1,49.6,100.5,48.8
"173","NYI",82,"20112012",130,174,-44,47.6,109.8,73.4,6.8,91,48.3,97.9,49.6
"174","N.J",82,"20142015",116,124,-8,47.2,95.6,72.1,7.2,93.5,47.1,100.7,46.3
"175","NYI",82,"20092010",145,171,-26,47.5,113.9,72.8,7.8,91.3,48.3,99.1,46.1
"176","MIN",82,"20082009",122,136,-14,47.2,101.4,71.1,7.5,92.7,48,100.2,43.4
"177","CGY",82,"20112012",134,146,-12,47.4,105.6,72.8,7.6,92.6,46.6,100.2,48.8
"178","CBJ",82,"20142015",144,167,-23,47.3,105.7,74.1,7.9,91.8,49.2,99.7,47.1
"179","ANA",82,"20092010",147,145,2,47.3,106.4,72.5,8.2,92.8,48.1,101,50.4
"180","COL",82,"20102011",147,172,-25,47.3,108,73.6,8,91.3,51.2,99.3,48.5
"181","EDM",82,"20112012",138,152,-14,47.3,107.3,71,8,92.1,47.4,100.1,50.4
"182","T.B",82,"20112012",169,182,-13,47.2,106.1,72,9.7,90.4,48.4,100.1,46
"183","BUF",48,"20122013",81,89,-8,45.1,107.7,74.3,8.1,92.6,45.6,100.7,49
"184","MTL",82,"20092010",130,141,-11,47.1,111,70.7,7.5,92.9,49.4,100.4,47.6
"185","COL",82,"20082009",124,167,-43,46.8,106.4,74,7,90.7,48.5,97.8,48.9
"186","EDM",48,"20122013",80,90,-10,44.6,108.9,71.8,8.1,92.5,44.6,100.6,47.4
"187","COL",82,"20132014",165,146,19,46.9,110.4,73.9,8.8,92.9,49.1,101.8,49.5
"188","ATL",82,"20082009",147,159,-12,46.3,104.5,72.6,9,91.8,51.3,100.8,42.2
"189","FLA",82,"20082009",150,145,5,46.6,111,73.1,8.3,93.3,48.3,101.6,45.3
"190","MTL",82,"20132014",132,136,-4,46.7,113,70.6,7.5,93,49.5,100.5,44.7
"191","NSH",82,"20112012",154,150,4,46.6,104.5,73.5,8.5,92.6,49.3,101,45.6
"192","EDM",82,"20102011",123,169,-46,46.4,107.8,71.9,7.5,91.2,44.5,98.8,49.8
"193","TOR",82,"20142015",136,171,-35,46.4,112.5,71.5,7.5,91.8,49.6,99.4,44.6
"194","TOR",48,"20122013",104,96,8,44.1,115.2,69.8,10.7,92.3,50.1,103,42.9
"195","CGY",82,"20132014",136,172,-36,46.3,107.7,70.9,7.9,90.9,46.6,98.8,48.3
"196","NYI",81,"20102011",135,170,-35,46.2,114.8,72.3,7.7,91.3,50.4,99,45.6
"197","PHX",81,"20082009",130,158,-28,45.5,107.6,72.7,7.8,91.9,45.7,99.7,48.1
"198","NYI",82,"20082009",117,173,-56,45.6,116.4,74,6.7,91.4,45.3,98.1,45.5
"199","MIN",82,"20102011",126,149,-23,45.2,104.3,71.1,7.9,92.5,50.3,100.4,43.5
"200","COL",82,"20092010",153,146,7,44.8,104.7,74.4,8.9,92.6,47.4,101.5,48.3
"201","EDM",81,"20092010",141,182,-41,44.9,112.9,72.3,8,91.1,46.9,99.1,46.9
"202","ANA",82,"20102011",133,154,-21,44.3,106,72.2,7.8,92.3,47.8,100.1,49.6
"203","FLA",82,"20092010",139,151,-12,44.6,112.1,71.9,7.9,93,49.8,100.9,44.1
"204","EDM",82,"20132014",128,178,-50,44.3,109.4,71.9,7.7,91.3,49.9,99.1,44.3
"205","MIN",82,"20112012",103,146,-43,44.3,107.5,72.2,6.2,92.6,52.2,98.8,43.7
"206","CGY",82,"20142015",152,154,-2,44.4,112.3,71.1,8.9,92.2,47.9,101.1,45.3
"207","BUF",82,"20132014",96,165,-69,43.1,107.9,73.5,5.8,92.3,46.6,98.2,43.9
"208","COL",82,"20142015",153,156,-3,43.2,109.3,75.4,8.7,92.6,50.5,101.4,45.8
"209","TOR",82,"20132014",148,166,-18,42.8,116.5,72.2,8.5,92.7,48.4,101.2,40.5
"210","BUF",82,"20142015",110,177,-67,37.5,107.5,74.9,7.2,92.3,45.1,99.5,40.5
