"","Team","season","Date","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%"
"1","CBJ","20132014","2014-01-25",2,2,0,77.1,132.5,65.5,5.6,88.9,48.8,94.4,70.6
"2","S.J","20132014","2014-01-29",0,2,-2,76.1,133.9,75.8,0,90.5,50.9,90.5,78
"3","L.A","20112012","2011-12-08",2,3,-1,73.6,142.2,61.9,5.1,82.4,66,87.5,77.4
"4","S.J","20132014","2014-03-11",6,1,5,74,134.5,72.4,14.3,93.8,62.5,108,75
"5","CAR","20142015","2015-04-06",2,4,-2,71.8,113.5,75.8,4.3,84,69.5,88.3,62.5
"6","T.B","20102011","2010-12-10",2,1,1,75.8,112.9,67.3,6.1,88.9,55.6,94.9,62.5
"7","MTL","20122013","2013-03-23",0,1,-1,75.3,112.3,71.1,0,92.9,51.1,92.9,88.9
"8","DET","20112012","2012-01-07",3,2,1,70.4,121.7,60.7,8.1,87.5,55.3,95.6,72.7
"9","CHI","20142015","2014-10-15",0,1,-1,73.3,134.2,83,0,92.3,56.8,92.3,69.2
"10","VAN","20142015","2015-01-30",1,0,1,82.9,99.7,68.3,3.6,100,62.5,103.6,72
"11","TOR","20092010","2009-12-26",2,1,1,69.8,137.8,63.6,4.8,94.1,68.1,98.9,61.5
"12","STL","20092010","2009-12-07",0,3,-3,72.1,110.7,60.3,0,84.2,56.4,84.2,59.3
"13","WSH","20092010","2009-12-11",2,2,0,73.2,116.9,69.6,6.2,81.8,53.3,88.1,81.8
"14","S.J","20142015","2014-11-06",1,2,-1,76.5,99.1,70.5,3.2,88.2,50,91.5,57.5
"15","S.J","20082009","2009-02-28",1,2,-1,69.9,122.7,71.7,2.3,90,57.8,92.3,70
"16","OTT","20122013","2013-04-20",1,3,-2,70.6,126.3,80,2.3,83.3,55.3,85.6,77.1
"17","MTL","20142015","2014-11-29",3,3,0,71,120.3,73.1,7.9,85,73.7,92.9,62.2
"18","MTL","20122013","2013-03-19",2,2,0,73.2,115.7,60.8,6.5,85.7,52.8,92.2,59.4
"19","L.A","20132014","2013-12-03",2,1,1,72.3,134.4,60,6.1,94.1,46.7,100.2,62.1
"20","FLA","20142015","2015-03-15",1,2,-1,67.2,156.9,59.6,2.9,93.3,59.6,96.3,45.9
"21","FLA","20142015","2014-12-04",2,3,-1,73.2,127.4,78,5.1,78.6,64.3,83.7,80
"22","DAL","20142015","2015-03-30",2,2,0,69.9,143.3,55.6,6.7,88.2,66.1,94.9,59.5
"23","DAL","20142015","2015-03-23",3,2,1,68.3,150.3,66,9.7,91.3,60.4,101,51.4
"24","CHI","20092010","2010-01-10",0,1,-1,77.8,102.6,75.5,0,87.5,56.4,87.5,72.4
"25","WPG","20142015","2015-01-31",2,1,1,71.2,146.2,63.3,6.5,95,56.5,101.5,51.9
"26","TOR","20102011","2010-10-30",0,1,-1,70.8,125.2,63.8,0,95.2,55,95.2,60.9
"27","CHI","20092010","2010-03-03",2,2,0,80.6,103.1,75.5,5.4,80,61.8,85.4,76.2
"28","BOS","20102011","2010-12-20",0,2,-2,68.6,130.8,70,0,89.5,54.3,89.5,61.3
"29","WSH","20092010","2010-03-28",1,4,-3,70.9,127.5,56.2,3.7,78.9,47.3,82.7,71
"30","NYR","20082009","2008-11-04",0,0,0,72.2,125.7,63,0,100,55.3,100,59.3
"31","CAR","20142015","2014-11-16",0,1,-1,68.4,134.2,66.1,0,91.7,58,91.7,73.5
"32","BOS","20112012","2012-02-14",0,1,-1,72.2,110.4,72,0,94.1,44.3,94.1,76.9
"33","BOS","20092010","2010-04-01",0,1,-1,71.3,119,61.9,0,94.7,65.7,94.7,65.4
"34","WSH","20092010","2010-03-25",2,1,1,66.9,154.1,64.8,5.7,95.7,54.3,101.4,52.8
"35","MTL","20102011","2011-01-02",1,3,-2,67.5,132.7,68.3,2.3,83.3,61.1,85.7,65.7
"36","L.A","20142015","2015-04-04",3,1,2,74.4,92,51,11.5,87.5,46.3,99,51.9
"37","L.A","20092010","2010-04-10",2,1,1,73.3,127.9,71.2,5.4,90,69.7,95.4,85
"38","DET","20142015","2014-10-25",2,2,0,75,119.9,84.2,6.2,75,54.5,81.2,76.7
"39","CHI","20112012","2012-01-15",4,3,1,71.4,108,70.4,10.5,85,58,95.5,55.2
"40","CBJ","20132014","2014-03-18",0,2,-2,75.6,114.4,83.3,0,80,56.2,80,69.7
"41","CAR","20132014","2014-01-19",2,4,-2,69.1,138.8,72.2,5.1,81.8,56.4,86.9,71.4
"42","BOS","20142015","2015-03-17",1,0,1,69.1,128.6,64.2,2.9,100,52.4,102.9,61.3
"43","ANA","20132014","2014-01-05",3,1,2,69.8,121.5,75.9,7.3,92.3,44.6,99.6,77.1
"44","WSH","20082009","2009-03-01",1,3,-2,69.5,134.1,60.9,3.6,84.2,54.3,87.8,70.6
"45","T.B","20132014","2014-03-06",0,3,-3,68.5,134.6,69.6,0,84.2,60.4,84.2,65.6
"46","S.J","20132014","2014-03-29",1,1,0,72,123,75,2.8,94.1,56.5,96.9,53.6
"47","S.J","20132014","2013-11-12",1,1,0,71.6,103.1,67.4,3.2,90,60,93.2,71
"48","MIN","20142015","2014-10-09",4,0,4,73.6,115.6,68.4,10.3,100,47.5,110.3,65.4
"49","L.A","20142015","2015-02-12",5,2,3,69.2,129.2,69.8,13.5,84.6,55.8,98.1,53.8
"50","FLA","20132014","2013-10-25",1,2,-1,70.3,114.7,73.2,2.4,88.2,53.1,90.7,85.3
"51","BOS","20132014","2014-04-03",3,3,0,70.3,115.2,62.7,9.4,85,45.1,94.4,75
"52","BOS","20112012","2012-02-19",0,1,-1,66.4,133.8,72.1,0,96.3,47.6,96.3,56.1
"53","WSH","20082009","2009-03-16",1,2,-1,72.7,116.6,74.1,2.5,86.7,38.6,89.2,70.8
"54","VAN","20102011","2011-03-16",3,1,2,68.5,117.7,71.7,7.9,95.5,52.9,103.3,77.1
"55","TOR","20092010","2009-11-23",3,2,1,67.2,160.9,72.4,7.1,87.5,74.4,94.6,69
"56","STL","20112012","2012-02-11",0,1,-1,73.8,99.3,78.3,0,91.7,52.9,91.7,67.7
"57","S.J","20082009","2008-12-06",1,1,0,72.7,111.4,76,2.6,90.9,57.1,93.5,73.9
"58","OTT","20142015","2014-12-29",4,2,2,72.7,119.3,68.2,13.3,88.9,50,102.2,62.5
"59","N.J","20112012","2012-03-29",4,4,0,75.6,90.4,66.7,13.3,75,71.1,88.3,66.7
"60","DET","20142015","2014-12-10",1,1,0,76.3,94.4,73.5,2.8,90.9,63.6,93.7,77.8
"61","DET","20112012","2011-11-05",4,0,4,73.3,112.4,74.5,10.5,100,64,110.5,65.6
"62","DAL","20142015","2015-02-07",1,2,-1,69.6,119.6,69.4,2.9,90,47.3,92.9,78.9
"63","CHI","20132014","2013-12-03",2,2,0,70,124.5,82.7,4.7,86.7,49.1,91.3,69.4
"64","BOS","20122013","2013-03-23",1,3,-2,70,116.7,65.1,3.6,76.9,54,80.5,63.6
"65","TOR","20092010","2010-01-09",0,3,-3,66.1,151,66.7,0,89.7,43.2,89.7,71.4
"66","TOR","20092010","2009-11-21",1,1,0,68.2,135.2,65.4,2.9,94.4,52.5,97.4,65.4
"67","PIT","20092010","2010-03-11",2,2,0,71.9,100.6,66,6.1,88.9,35.8,94.9,64.7
"68","MTL","20142015","2015-02-03",2,3,-1,66.4,134.6,59.2,6.9,83.3,57.9,90.2,66.7
"69","L.A","20142015","2014-12-09",0,0,0,76,91.4,73,0,100,47.2,100,77.8
"70","CGY","20082009","2008-11-18",2,1,1,71.4,128.5,79.2,5.3,94.4,65.1,99.7,76.5
"71","BOS","20112012","2012-02-11",1,2,-1,70.5,118,77.3,2.9,86.7,61.9,89.6,58.3
"72","BOS","20102011","2010-12-30",2,0,2,68.2,141.8,66.7,6.2,100,59.5,106.2,71
"73","WPG","20142015","2015-01-03",4,1,3,73.8,106.7,72.9,11.4,92.3,67.4,103.7,65.5
"74","VAN","20132014","2014-03-23",4,1,3,67.6,122.8,57.4,12.9,93.3,56.2,106.2,60
"75","VAN","20112012","2011-12-01",3,3,0,69,117.5,62.3,9.1,80,55.8,89.1,70.4
"76","S.J","20142015","2015-04-09",2,1,1,64.4,156.6,74.6,4.3,95.8,53.6,100.1,44.2
"77","PHX","20112012","2011-12-10",1,1,0,69,120.3,58.8,3.3,93.8,62.5,97.1,70
"78","OTT","20112012","2011-12-30",3,2,1,68.6,126.6,68.5,8.1,91.3,65.1,99.4,60
"79","NSH","20142015","2015-02-22",0,1,-1,74.4,115.5,71.8,0,91.7,47.4,91.7,64.3
"80","NSH","20142015","2015-01-27",2,2,0,68.3,119.3,69.2,5.6,88.2,46.4,93.8,62.2
"81","NSH","20112012","2012-03-20",2,4,-2,73.8,96.2,77.8,5.7,71.4,46,77.1,70.4
"82","L.A","20132014","2013-10-27",1,0,1,73.8,109.8,81.6,2.5,100,47.9,102.5,82.9
"83","L.A","20122013","2013-02-07",0,2,-2,75,88.4,74.4,0,81.8,47.9,81.8,78.4
"84","DET","20112012","2011-11-17",0,4,-4,67.6,122.6,70,0,81.8,39.1,81.8,58.1
"85","COL","20092010","2010-02-06",2,0,2,69.4,120.2,66.7,6.2,100,43.6,106.2,59.3
"86","CAR","20142015","2015-03-06",1,3,-2,69.8,111.2,78.6,3,83.3,56,86.4,65.8
"87","WSH","20142015","2015-03-07",4,1,3,67.6,126,71.2,10.8,93.3,60,104.1,78.6
"88","WSH","20102011","2010-12-11",1,2,-1,68.3,130.7,73.9,2.9,90,50,92.9,54.3
"89","VAN","20092010","2010-03-23",2,3,-1,69.9,113.3,62.5,6.7,82.4,62.5,89,61.5
"90","STL","20132014","2014-03-25",3,2,1,67.6,124.8,74.6,6.8,89.5,59.2,96.3,64.5
"91","S.J","20122013","2013-03-12",1,3,-2,69.9,115,76.6,2.8,78.6,45.8,81.3,72.2
"92","PIT","20112012","2012-01-17",1,1,0,67,128.3,60.8,3.2,95,39.4,98.2,52.9
"93","PHX","20112012","2012-03-08",2,2,0,67.3,124.2,72.3,5.9,90,61,95.9,72
"94","PHX","20092010","2009-11-23",0,3,-3,69.9,121.9,67.3,0,82.4,46.3,82.4,62.5
"95","NYR","20142015","2015-03-14",1,0,1,74,98.3,59.1,3.8,100,62.5,103.8,58.6
"96","NSH","20142015","2015-04-07",1,3,-2,68.7,122.6,73.3,3,83.3,40,86.4,73.1
"97","NSH","20142015","2014-10-31",2,2,0,64.8,133.9,51.1,8.3,92.6,60.9,100.9,56.1
"98","NSH","20082009","2009-01-06",1,2,-1,69.1,114,47.7,4.8,88.2,52.8,93,68
"99","N.J","20082009","2009-02-28",6,2,4,75.3,90,78,15.4,84.6,47.4,100,71.4
"100","MTL","20142015","2014-10-11",3,2,1,65.3,151.3,68,8.8,89.5,43.6,98.3,70.4
"101","MIN","20142015","2015-01-08",1,2,-1,72.3,119,78.6,3,83.3,53.5,86.4,70.8
"102","L.A","20132014","2013-11-02",2,2,0,68.7,117.2,64.6,6.5,86.7,49.1,93.1,62.5
"103","DET","20132014","2013-12-21",4,3,1,69.1,113.4,56.4,12.9,80,46.8,92.9,67.9
"104","DET","20112012","2011-10-15",2,2,0,71.3,96.2,81,5.9,84.6,45.7,90.5,61.1
"105","CHI","20102011","2011-01-02",1,2,-1,70.8,111.8,69.8,2.7,83.3,39.5,86,75
"106","CGY","20102011","2011-04-06",3,0,3,69.5,117.4,72,8.3,100,64.4,108.3,61.5
"107","BUF","20092010","2010-03-31",5,2,3,71.8,95.8,81.2,12.8,83.3,50,96.2,75
"108","ATL","20102011","2011-02-27",1,2,-1,69.9,124.8,66,3.2,88.2,42.4,91.5,63.6
"109","ANA","20132014","2014-01-21",1,2,-1,66.7,135.5,73.3,3,89.5,58.8,92.5,73.5
"110","WSH","20132014","2013-11-23",1,0,1,64.1,145,66.1,2.7,100,40.8,102.7,65.8
"111","WSH","20112012","2011-10-27",1,0,1,73.1,124.3,60.5,3.8,100,55.2,103.8,56.2
"112","WPG","20132014","2014-04-05",3,1,2,69.6,115.4,73.6,7.7,93.3,50,101,83.9
"113","T.B","20142015","2015-01-09",2,0,2,68.4,121.8,73.2,4.9,100,65.2,104.9,66.7
"114","STL","20142015","2015-03-14",1,3,-2,70,111.6,70.2,3,80,56.2,83,67.9
"115","STL","20102011","2010-11-13",2,1,1,72,103.5,64.4,6.9,93.3,47.7,100.2,70.4
"116","STL","20102011","2010-10-16",1,2,-1,74.3,102.4,75.6,3.2,84.6,47.1,87.8,52.2
"117","S.J","20132014","2013-12-03",2,0,2,67,132.7,61.1,6.1,100,50.9,106.1,68.6
"118","S.J","20132014","2013-10-08",6,1,5,64.1,145.8,67.7,14.3,93.8,48.1,108,62.5
"119","S.J","20092010","2010-03-21",1,3,-2,70.5,111.3,54.5,4.2,85,40.9,89.2,69
"120","NYI","20142015","2014-11-24",0,0,0,69.1,110.9,74.1,0,100,46,100,65.8
"121","NSH","20142015","2015-03-21",2,0,2,66.7,121,66.7,5,100,58.5,105,75
"122","N.J","20112012","2012-01-10",1,5,-4,75,93.5,69.8,3.3,50,45.7,53.3,79.3
"123","MTL","20102011","2010-12-15",2,4,-2,65.5,134.9,64.3,5.6,84,58.5,89.6,73.3
"124","L.A","20122013","2013-04-07",2,2,0,70.9,102.9,79.5,6.5,86.7,56,93.1,67.9
"125","FLA","20102011","2010-10-10",2,3,-1,71.4,103.6,57.1,8.3,75,62.2,83.3,60.9
"126","CHI","20082009","2009-01-06",6,0,6,76.5,116.3,75,20,100,30,120,80
"127","CAR","20122013","2013-01-19",0,2,-2,72,118.7,63.3,0,85.7,50,85.7,53.8
"128","ANA","20082009","2009-01-21",0,1,-1,70.5,107.3,70.3,0,91.7,53.8,91.7,66.7
"129","WPG","20142015","2015-03-31",2,2,0,67.3,117.3,71.1,6.2,89.5,58.8,95.7,65.6
"130","VAN","20142015","2015-01-10",0,1,-1,65.8,126.3,66.7,0,94.7,56.4,94.7,73.7
"131","VAN","20112012","2011-10-25",2,3,-1,67.3,131.9,72.7,6.2,81.2,54.3,87.5,63.2
"132","VAN","20092010","2010-03-16",2,3,-1,69.7,106.9,70.5,6.5,78.6,55.8,85,74.3
"133","STL","20112012","2012-01-07",2,0,2,71.1,110.2,56.9,6.9,100,53.8,106.9,50
"134","PIT","20112012","2012-01-06",1,2,-1,68.4,111.3,71.7,3,88.2,33.3,91.3,75.9
"135","PHI","20112012","2011-12-27",1,4,-3,69.2,115.4,68.9,3.2,73.3,39.6,76.6,77.8
"136","N.J","20082009","2009-04-07",0,4,-4,72.2,106.3,64.3,0,73.3,55.2,73.3,81.2
"137","MTL","20122013","2013-04-17",4,3,1,71.1,120.3,86.5,12.5,80,51.2,92.5,69.6
"138","MIN","20092010","2010-02-02",1,3,-2,68.8,112.9,64.7,3,70,59.5,73,74.1
"139","L.A","20132014","2014-02-01",0,1,-1,71.6,94.4,72.1,0,90.9,56.1,90.9,63
"140","L.A","20132014","2014-01-07",1,1,0,68.8,107.9,61.2,3.3,90.9,47.7,94.2,77.4
"141","DET","20142015","2014-12-23",2,2,0,74.6,88.1,81.1,6.7,84.6,61.2,91.3,61.3
"142","DET","20092010","2010-03-30",4,3,1,67.7,119.5,66.7,11.1,85,55.3,96.1,64.3
"143","CHI","20142015","2014-10-11",4,1,3,70.6,111.4,79.2,10.5,94.7,51.5,105.3,64.3
"144","CHI","20092010","2010-03-02",1,5,-4,65.8,121.9,70.9,2.6,78.3,53.8,80.8,63.9
"145","CHI","20092010","2009-12-22",1,2,-1,74,124.4,77.3,2.9,71.4,62.1,74.4,76.2
"146","CAR","20132014","2013-12-20",1,0,1,71.1,114.5,59.1,3.8,100,60.4,103.8,73.3
"147","CAR","20082009","2008-12-04",1,3,-2,67.3,132,66.7,3.3,81.2,61.5,84.6,73.3
"148","BOS","20132014","2014-01-14",3,2,1,71.6,110.1,70.5,9.7,88.2,50,97.9,75
"149","BOS","20122013","2013-04-20",0,1,-1,72.7,107.5,71.4,0,93.3,48.9,93.3,46.4
"150","BOS","20122013","2013-04-17",2,0,2,70.1,108.4,67.3,6.1,100,62.2,106.1,62.5
"151","BOS","20092010","2010-03-25",2,3,-1,73.3,96.5,86.7,5.1,76.9,39.1,82.1,69.2
"152","T.B","20102011","2010-11-14",0,1,-1,69.8,104.1,65.2,0,91.7,46,91.7,74.3
"153","STL","20102011","2010-11-27",1,1,0,72.4,91.8,71.4,3.3,94.1,57.8,97.5,82.1
"154","S.J","20112012","2011-12-06",1,1,0,64.9,137,72,2.8,94.7,55.3,97.5,66.7
"155","S.J","20102011","2011-03-01",1,0,1,67.3,118,59.5,4,100,46.2,104,74.1
"156","PHX","20122013","2013-03-02",4,3,1,65.2,124.2,68.8,12.1,85.7,55.8,97.8,60
"157","OTT","20112012","2012-03-16",1,0,1,77.4,105.5,64.7,4.5,100,54.8,104.5,69.6
"158","NYI","20142015","2015-02-08",2,2,0,70.7,95.9,60.5,8.7,77.8,57.1,86.5,72.7
"159","NYI","20122013","2013-02-09",2,2,0,66.7,121.8,72,5.6,83.3,50,88.9,63.3
"160","NSH","20092010","2009-11-14",1,0,1,67.7,128.5,80,2.3,100,50,102.3,58.6
"161","N.J","20132014","2013-12-21",2,4,-2,67.3,103.8,68.9,6.5,77.8,40.5,84.2,61.9
"162","MTL","20102011","2010-12-26",1,2,-1,69.8,127.3,71.7,3,83.3,37.5,86.4,76.9
"163","MTL","20092010","2009-11-07",0,2,-2,67.7,110.5,64.4,0,88.2,62.2,88.2,76.2
"164","DAL","20142015","2014-12-23",0,2,-2,68.9,129.3,64.7,0,88.9,52,88.9,66.7
"165","DAL","20082009","2009-03-24",2,1,1,71.2,122,59.5,8,90.9,44.4,98.9,50
"166","CGY","20082009","2008-10-28",3,0,3,69.8,101,65.9,11.1,100,64,111.1,56.7
"167","CBJ","20142015","2015-03-07",0,2,-2,70.2,111,83,0,89.5,41.7,89.5,60.5
"168","CAR","20132014","2014-03-13",2,1,1,66.7,137.1,81.6,5,94.1,79.1,99.1,61.3
"169","BUF","20092010","2010-03-10",4,3,1,67.7,113,78.3,11.1,80,51.2,91.1,50
"170","BOS","20142015","2014-10-30",2,1,1,70.2,94.8,68.9,6.5,88.9,52.1,95.3,71
"171","ARI","20142015","2014-12-22",0,4,-4,68.9,121.9,75.6,0,78.9,61,78.9,70.8
"172","WSH","20082009","2009-03-10",1,1,0,64.3,134.9,61.5,3.1,96,59.6,99.1,62.5
"173","VAN","20132014","2013-12-13",2,0,2,66.7,112.1,70.8,5.9,100,59.1,105.9,38.5
"174","STL","20132014","2014-04-08",1,1,0,72.6,93,54.3,5.3,91.7,70.7,96.9,57.1
"175","S.J","20142015","2014-11-15",1,1,0,69.4,107.4,65.9,3.4,95.2,43.9,98.7,53.6
"176","S.J","20122013","2013-04-05",2,0,2,66.3,121.3,68.6,5.7,100,57.1,105.7,59
"177","S.J","20102011","2011-01-06",0,2,-2,69.4,109.5,71.4,0,86.7,59.5,86.7,56.5
"178","S.J","20082009","2009-03-17",2,1,1,69.9,96,72.1,6.5,94.1,47.7,100.6,56
"179","PIT","20092010","2010-03-14",1,1,0,73.2,94.7,76.9,3.3,90.9,34.4,94.2,72.2
"180","PHI","20142015","2015-02-17",2,3,-1,66.7,110.3,68.8,6.1,86.4,59.2,92.4,80
"181","OTT","20142015","2015-01-08",2,4,-2,70.4,97.6,78.9,6.7,77.8,53.1,84.4,61.8
"182","NYR","20132014","2014-03-28",3,3,0,66,113.3,78.4,7.5,86.4,47.9,93.9,76.7
"183","NYR","20122013","2013-03-21",1,1,0,66,120,85.1,2.5,94.7,55.8,97.2,61.8
"184","NYI","20142015","2014-10-30",0,3,-3,69,116.8,68.3,0,81.2,51.2,81.2,60.7
"185","MTL","20102011","2010-12-21",1,3,-2,67.7,109.6,56.5,3.8,75,61.7,78.8,52
"186","MTL","20092010","2009-10-22",3,0,3,67.7,123.6,77.5,9.7,100,53.5,109.7,74.1
"187","L.A","20142015","2015-01-01",2,1,1,68.5,107.6,78.7,5.4,93.3,47.1,98.7,62.1
"188","L.A","20132014","2014-03-13",1,1,0,67,121.5,64,3.1,95,49,98.1,68.6
"189","L.A","20082009","2008-11-06",2,1,1,71.4,107.8,58.1,8,85.7,43.8,93.7,66.7
"190","EDM","20142015","2014-11-07",3,2,1,63.6,138.9,76.7,6.5,92.6,62,99.1,63.8
"191","EDM","20102011","2011-02-25",0,3,-3,69.4,115,82.1,0,80,65,80,77.8
"192","COL","20112012","2012-02-02",0,1,-1,64.9,118.3,73.9,0,95.2,52.5,95.2,69.2
"193","CHI","20132014","2013-11-03",1,2,-1,64.9,119,72.9,2.9,92.9,59.7,95.7,62.2
"194","CHI","20122013","2013-04-26",3,0,3,66,112.1,70.8,8.8,100,55.8,108.8,57.9
"195","CAR","20122013","2013-02-02",2,2,0,67.7,127.3,66.7,6.7,87.5,55.8,94.2,51.9
"196","BOS","20142015","2015-03-05",3,1,2,66.3,134.4,71.1,11.1,95.7,50,106.8,60
"197","BOS","20132014","2014-03-06",1,0,1,67,98.3,77.4,2.4,100,55.8,102.4,65.7
"198","ANA","20132014","2014-03-28",3,3,0,68.1,108.2,79.6,7.7,81.2,44.4,88.9,63.9
"199","STL","20132014","2014-04-10",0,3,-3,75.8,89.3,70.7,0,70,66.7,70,82.4
"200","S.J","20142015","2014-11-22",1,2,-1,65.7,117,69.8,3.3,87.5,60,90.8,58.6
"201","PIT","20142015","2015-03-09",1,1,0,64.8,141.6,65.3,3.1,95.5,60.5,98.6,70.6
"202","PIT","20092010","2010-03-04",3,2,1,68.6,113.1,80,8.3,80,51.2,88.3,92.3
"203","PIT","20082009","2008-11-08",3,3,0,69,104.7,67.6,13,78.6,58.7,91.6,66.7
"204","PHI","20132014","2013-12-19",4,3,1,67,116.5,68.9,12.9,85,55.1,97.9,66.7
"205","PHI","20102011","2010-10-21",2,3,-1,67,137.3,68.1,6.2,81.2,40.4,87.5,50
"206","OTT","20122013","2013-03-06",2,4,-2,62.3,144.6,57.6,5.9,84,45,89.9,70
"207","NYR","20102011","2011-02-20",2,2,0,64.5,121.4,72.5,5.4,88.9,45.8,94.3,82.1
"208","N.J","20132014","2013-12-13",2,3,-1,64.3,125.3,64.4,6.9,87,60.5,93.9,52.2
"209","N.J","20122013","2013-03-25",2,2,0,69,89.9,63.6,7.1,84.6,43.8,91.8,75
"210","N.J","20082009","2009-03-03",1,0,1,63.8,141.6,67.3,3,100,50,103,65.6
"211","L.A","20132014","2013-11-12",2,1,1,69,100.2,72.7,6.2,91.7,55.6,97.9,65.9
"212","L.A","20112012","2012-04-02",2,0,2,66.3,117.2,69.4,5.9,100,65.9,105.9,61.3
"213","EDM","20142015","2014-10-09",0,4,-4,66,113.8,70.8,0,81.8,60.7,81.8,78.1
"214","DET","20082009","2009-03-24",3,0,3,67,131.9,68.2,10,100,54.3,110,57.1
"215","DET","20082009","2009-02-12",4,0,4,68.2,112.9,69.4,11.8,100,75,111.8,72
"216","DET","20082009","2008-12-12",1,2,-1,70,101.1,70.5,3.2,85.7,51.4,88.9,69.6
"217","CHI","20142015","2015-01-06",0,2,-2,65.1,133.9,72.5,0,88.2,35.1,88.2,72.4
"218","CHI","20142015","2014-12-14",1,1,0,65.7,120,55.3,3.8,94.4,64.1,98.3,62.5
"219","CHI","20122013","2013-02-25",1,0,1,72.2,89.8,67.6,4.3,100,42.2,104.3,70.6
"220","CHI","20092010","2009-10-12",5,5,0,71.6,90.8,71.4,16.7,66.7,61.1,83.3,63.3
"221","CHI","20092010","2009-10-02",3,2,1,64.3,134.5,77.4,7.3,87.5,62,94.8,61.8
"222","CHI","20082009","2009-02-17",1,0,1,72.9,102.3,80,3.1,100,50,103.1,69.6
"223","CAR","20122013","2013-04-06",1,1,0,65.7,161.4,80,2.5,95.2,44.4,97.7,80
"224","BOS","20082009","2009-02-22",2,3,-1,70.5,115.6,68.2,6.7,72.7,60.5,79.4,75
"225","VAN","20132014","2014-02-28",0,0,0,67.8,100.2,71.8,0,100,50,100,56.7
"226","VAN","20102011","2011-03-31",2,1,1,70.7,104.3,54.5,8.3,91.7,70.4,100,75
"227","VAN","20092010","2009-10-17",2,1,1,70.1,110.4,72.5,6.9,90.9,57.1,97.8,77.8
"228","VAN","20092010","2009-10-05",3,4,-1,67.8,111.7,73.8,9.7,77.8,58,87.5,53.3
"229","T.B","20132014","2013-12-10",3,1,2,70.1,109.8,76.3,10.3,92.9,41.7,103.2,77.3
"230","STL","20132014","2013-11-12",2,2,0,67,97.6,76.1,5.7,88.9,40.8,94.6,66.7
"231","STL","20112012","2012-03-31",2,2,0,71.2,118.9,65.8,8,85.7,46.3,93.7,69.6
"232","S.J","20142015","2015-04-01",3,0,3,67,100.6,81.8,11.1,100,53.8,111.1,63.2
"233","S.J","20142015","2014-10-25",1,2,-1,66.3,112,63.9,4.3,84.6,72.2,89,63.6
"234","S.J","20122013","2013-04-13",0,1,-1,66.7,109.8,59.5,0,93.8,56.1,93.8,74.1
"235","S.J","20112012","2012-01-23",0,1,-1,66,109.9,67.9,0,92.9,51.7,92.9,71.1
"236","S.J","20112012","2011-10-08",3,0,3,64.8,150.4,74,8.1,100,48.8,108.1,70.4
"237","S.J","20092010","2010-01-04",1,3,-2,68.7,116.1,77.3,2.9,76.9,45.5,79.9,68.4
"238","S.J","20082009","2009-01-03",3,1,2,64.2,132,75.5,7.5,95,60.4,102.5,73.5
"239","PIT","20142015","2015-03-04",1,2,-1,67,107.7,61.5,4.2,87.5,55.3,91.7,58.8
"240","PIT","20142015","2014-11-14",2,1,1,64.8,152.6,63.5,6.1,93.8,51.1,99.8,69.7
"241","PIT","20112012","2012-01-10",1,4,-3,67.4,108.6,67.5,3.7,75,54.9,78.7,70
"242","PHX","20112012","2012-01-21",1,4,-3,67,111.1,71.4,3.3,76.5,58.6,79.8,65
"243","PHI","20132014","2013-12-28",0,2,-2,68.7,110.1,64.3,0,83.3,46.2,83.3,71.4
"244","PHI","20082009","2009-03-26",2,2,0,67,117.5,80.9,5.3,90.5,61,95.7,66.7
"245","OTT","20132014","2014-04-04",4,7,-3,68.2,111.8,66.7,12.5,65,62.3,77.5,68
"246","NYR","20132014","2013-12-15",3,2,1,67.8,111.7,66.7,12.5,86.7,63.8,99.2,65.6
"247","NYI","20092010","2010-01-28",1,1,0,67,108.7,56.8,4,92.9,50,96.9,56.5
"248","NSH","20142015","2014-11-29",2,0,2,67.4,122.4,81.4,5.7,100,47.8,105.7,61.3
"249","N.J","20112012","2012-03-23",3,3,0,70.1,81.6,80.4,8.1,82.4,51.1,90.5,70.8
"250","N.J","20112012","2011-11-03",3,2,1,67.4,122.5,82.1,9.4,85.7,48,95.1,66.7
"251","N.J","20102011","2010-12-23",1,3,-2,71.8,83,70,3.6,75,51.1,78.6,66.7
"252","MTL","20092010","2009-10-26",2,0,2,66.7,121.9,56.8,9.5,100,45.7,109.5,50
"253","L.A","20132014","2014-04-09",3,3,0,63.5,115,75,7.7,83.3,63,91,56.2
"254","L.A","20112012","2011-12-13",0,3,-3,66.3,124.3,83.3,0,78.6,36.6,78.6,70.4
"255","DET","20122013","2013-03-13",1,4,-3,66,108.6,70.8,2.9,78.9,46.3,81.9,68.2
"256","DAL","20122013","2013-03-12",0,1,-1,67.8,111.8,64.3,0,90.9,46.2,90.9,68.8
"257","DAL","20112012","2012-02-16",1,2,-1,66,111.6,65.9,3.4,88.9,56,92.3,61.8
"258","COL","20112012","2011-11-06",1,1,0,64,119.9,61.7,3.4,95,52.6,98.4,44.4
"259","CHI","20132014","2013-11-27",3,2,1,66,107.4,69.2,11.1,90.5,38.6,101.6,63.2
"260","CHI","20132014","2013-11-10",4,1,3,69.1,97.4,81.6,12.9,93.3,67.2,106.2,71.8
